Date,City,Air_Quality_Index,Particulate_Matter_2.5,Particulate_Matter_10,Nitrogen_Dioxide,Sulphur_Dioxide,Carbon_Monoxide,Ozone,Temperature_Celsius,Humidity,Wind_Speed,Source_of_Pollution,Latitude,Longitude
1/3/2018,Phoenix,74,40.5,90.5,15.5,1.8,1.7,76,-5,63,0.8,Residential,33.4484,-112.074
1/3/2018,Philadelphia,110,43.4,82.4,22.3,2.4,1.8,88,6,67,4.2,Industrial,39.9526,-75.1652
1/3/2018,San Antonio,149,16.5,66.3,8.9,5.9,1.4,26.9,14.8,99,6.2,Residential,29.4241,-98.4936
1/3/2018,San Diego,127,7.8,74.7,16.3,3.5,1,27.8,15.6,44,1.6,Residential,32.7157,-117.1611
1/3/2018,Dallas,171,32.1,68.1,31.1,5.9,0.8,68.2,-3.4,67,8.1,Residential,32.7767,-96.797
1/3/2018,San Jose,175,8.4,40.6,7.7,4.8,1.2,54.2,21.4,64,2.2,Traffic,37.3382,-121.8863
1/4/2018,New York,179,48.7,12.9,27.1,3.5,2,29.7,33.9,68,0.6,Residential,40.7128,-74.006
1/4/2018,Los Angeles,178,12.3,14.4,34.3,3.5,1.1,27.8,26.8,93,8.3,Traffic,34.0522,-118.2437
1/4/2018,Chicago,175,45.9,41.5,44.3,3.2,1.9,39.4,13.6,43,5.6,Residential,41.8781,-87.6298
1/4/2018,Houston,132,18.6,43.3,31,4,0.2,55,6.8,40,6.6,Traffic,29.7604,-95.3698
1/4/2018,Phoenix,184,8.5,68.7,30,5.5,1.5,73.3,7.1,90,3.9,Residential,33.4484,-112.074
1/4/2018,Philadelphia,110,45.5,11.8,16,2.5,1.3,42.3,29.5,34,7.6,Residential,39.9526,-75.1652
1/4/2018,San Antonio,95,20.3,18.3,13,2.6,1.6,68.3,29.1,27,1.2,Residential,29.4241,-98.4936
1/4/2018,San Diego,93,35.9,24.7,26.1,5.9,1.7,49.9,23.9,90,7.7,Traffic,32.7157,-117.1611
1/4/2018,Dallas,107,26.8,44.3,32.1,9.9,1.9,41,-0.5,87,8.7,Traffic,32.7767,-96.797
1/4/2018,San Jose,199,14.1,40.1,39.4,7.9,0.1,53.2,20.6,25,4.5,Residential,37.3382,-121.8863
1/5/2018,New York,170,42.5,15.7,27.1,2.9,1.4,79.7,14.8,97,4.3,Industrial,40.7128,-74.006
1/5/2018,Los Angeles,57,33,21.7,21.2,1.2,0.7,53.8,32,60,2.9,Traffic,34.0522,-118.2437
1/5/2018,Chicago,121,24.2,23.5,39.9,8.6,0.8,71.6,2,66,6.1,Industrial,41.8781,-87.6298
1/5/2018,Houston,182,47.1,51.7,33.7,4.4,1.7,88.4,21.1,84,4.2,Traffic,29.7604,-95.3698
1/5/2018,Phoenix,89,34.9,83,16,5.3,0.7,48.1,7.1,28,5.4,Traffic,33.4484,-112.074
1/5/2018,Philadelphia,159,35.9,38.7,38.9,6.5,1.9,26.8,29.9,26,0.7,Industrial,39.9526,-75.1652
1/5/2018,San Antonio,127,19.2,53.3,12.9,2.1,1.2,45.4,14.8,91,5.3,Traffic,29.4241,-98.4936
1/5/2018,San Diego,187,39.7,44.7,13.2,3.8,0.9,74,37.9,82,2.6,Traffic,32.7157,-117.1611
1/5/2018,Dallas,117,23.6,18.5,31.3,1.6,0.5,72.5,24.3,84,1.9,Residential,32.7767,-96.797
1/5/2018,San Jose,181,6.8,38.9,35.1,9.2,1.6,23.6,39.3,92,3.7,Industrial,37.3382,-121.8863
1/6/2018,New York,149,39.7,34.2,35.4,5.4,0.2,39.8,14.2,54,5.5,Industrial,40.7128,-74.006
1/6/2018,Los Angeles,140,47,23.5,16.3,5.2,0.8,76,35.3,78,2.3,Industrial,34.0522,-118.2437
1/6/2018,Chicago,193,30.8,22.7,23,4.1,0.7,51.9,0.9,45,1.3,Residential,41.8781,-87.6298
1/6/2018,Houston,160,10.3,88.2,21.5,6.4,1.4,70.6,20.5,35,2.9,Residential,29.7604,-95.3698
1/6/2018,Phoenix,61,29,49.1,29,1.9,1.4,80.3,-8.1,50,6.4,Traffic,33.4484,-112.074
1/6/2018,Philadelphia,185,30.6,14.7,14,5.7,1.6,30.7,39.1,66,8.6,Traffic,39.9526,-75.1652
1/6/2018,San Antonio,165,47.6,20.8,38.4,3.6,1.7,99.6,-3.9,25,8.4,Industrial,29.4241,-98.4936
1/6/2018,San Diego,186,27.2,43.1,31.9,4.5,0.9,58.4,7.1,22,9.7,Residential,32.7157,-117.1611
1/6/2018,Dallas,118,13.2,32.4,13.9,1.8,0.5,37.2,27.4,49,8.7,Industrial,32.7767,-96.797
1/6/2018,San Jose,134,5.7,12.1,32.6,3.1,1,24.3,26.7,98,5,Traffic,37.3382,-121.8863
1/7/2018,New York,156,22.4,76,31.7,6.9,0.8,75.3,26.1,89,4.6,Residential,40.7128,-74.006
1/7/2018,Los Angeles,184,31,22.1,48.4,7.9,0.3,99,17,55,3,Traffic,34.0522,-118.2437
1/7/2018,Chicago,86,30.4,96.5,21.9,4.9,0.5,99.5,12.6,23,3.2,Residential,41.8781,-87.6298
1/7/2018,Houston,194,30.7,30,12.4,1.3,0.7,94.8,22.7,96,2.7,Traffic,29.7604,-95.3698
1/7/2018,Phoenix,170,19.5,11.5,28.8,6,1,61.4,21.7,25,3.9,Industrial,33.4484,-112.074
1/7/2018,Philadelphia,122,11.6,27,41.6,9.5,0.6,32.9,17.8,30,5.9,Residential,39.9526,-75.1652
1/7/2018,San Antonio,88,32.8,78.8,32,2.9,1.2,58.3,1.5,95,7.4,Residential,29.4241,-98.4936
1/7/2018,San Diego,149,19.6,53.4,41.8,8.4,0.2,50.9,9.7,50,9.8,Traffic,32.7157,-117.1611
1/7/2018,Dallas,105,22.9,85,17.6,3.9,0.9,63.6,32.2,94,9.1,Residential,32.7767,-96.797
1/7/2018,San Jose,111,35.2,61.5,13.2,3.6,1.6,51.2,9.7,85,6.2,Industrial,37.3382,-121.8863
1/8/2018,New York,92,40.5,86.3,43.9,3,0.8,93.1,-5.7,38,8.9,Industrial,40.7128,-74.006
1/8/2018,Los Angeles,191,7.2,19.6,41.6,7.4,1.7,37.7,11.6,92,5.9,Traffic,34.0522,-118.2437
1/8/2018,Chicago,162,43,20.5,46.3,4.2,1.3,76.1,22.1,94,7.6,Residential,41.8781,-87.6298
1/8/2018,Houston,80,23.1,93,20.6,1.8,1.3,25.3,24.4,86,3,Residential,29.7604,-95.3698
1/8/2018,Phoenix,100,8,91.9,43.8,8.4,1.5,63.2,7.5,59,4.6,Traffic,33.4484,-112.074
1/8/2018,Philadelphia,115,21.2,84.3,28.8,4.2,2,43.1,-5.8,81,3.5,Industrial,39.9526,-75.1652
1/8/2018,San Antonio,80,31,64.7,25.3,4.8,0.3,80.5,4.3,39,3.8,Traffic,29.4241,-98.4936
1/8/2018,San Diego,74,16.9,75.1,15,1.4,0.4,31.3,10.8,50,0.8,Residential,32.7157,-117.1611
1/8/2018,Dallas,55,23,65.9,28.3,9.8,1.8,53.3,-1.7,98,4.1,Residential,32.7767,-96.797
1/8/2018,San Jose,115,35.3,70.5,45.3,9.5,2,39.5,7.9,90,8.4,Traffic,37.3382,-121.8863
1/9/2018,New York,171,16.9,84.1,25.6,4,1,90.5,32.5,96,1.3,Industrial,40.7128,-74.006
1/9/2018,Los Angeles,139,37.7,65.1,12.6,6.7,0.9,34.1,1.2,63,9,Industrial,34.0522,-118.2437
1/9/2018,Chicago,100,8.1,30.6,47.8,1.9,0.1,21.6,24.2,97,9.2,Industrial,41.8781,-87.6298
1/9/2018,Houston,196,27,59.8,6,7.7,1.3,28,7.7,41,8,Industrial,29.7604,-95.3698
1/9/2018,Phoenix,121,5.7,80.7,37.8,3.1,1.4,45.5,9.1,31,8.8,Residential,33.4484,-112.074
1/9/2018,Philadelphia,64,38.8,11.9,20.2,2,1,43.1,5,36,1.5,Industrial,39.9526,-75.1652
1/9/2018,San Antonio,168,18.4,80.8,12.3,5.6,0.9,43.7,14.3,36,3.1,Industrial,29.4241,-98.4936
1/9/2018,San Diego,193,13.2,91.2,44.4,7.1,0.5,29.1,0.4,96,6.3,Traffic,32.7157,-117.1611
1/9/2018,Dallas,121,42.1,23.4,27.6,3.4,1.6,88.5,34.3,33,1.7,Traffic,32.7767,-96.797
1/9/2018,San Jose,117,41.8,18.5,5.9,2.6,0.5,87.2,28.2,34,5.5,Traffic,37.3382,-121.8863
1/10/2018,New York,67,42.2,19.7,46.5,2.9,1.7,98.7,33.7,92,3.5,Industrial,40.7128,-74.006
1/10/2018,Los Angeles,185,38.5,95.2,31,9.6,1.8,27.8,17.7,20,7.3,Residential,34.0522,-118.2437
1/10/2018,Chicago,156,38.1,92.3,48.1,4.9,1.4,70.4,6.6,81,8,Residential,41.8781,-87.6298
1/10/2018,Houston,86,40.4,48.4,45.7,7.7,0.8,30.8,20.2,94,8.7,Traffic,29.7604,-95.3698
1/10/2018,Phoenix,66,5.3,50.6,36.1,5.2,0.7,94.6,14.7,50,5.4,Industrial,33.4484,-112.074
1/10/2018,Philadelphia,85,35.4,64.1,9.9,6.3,0.9,92.9,10.1,48,6.8,Residential,39.9526,-75.1652
1/10/2018,San Antonio,120,45.6,75.3,27.8,8.6,1.1,46.3,31.8,31,9.7,Industrial,29.4241,-98.4936
1/10/2018,San Diego,161,32.6,86.1,9.1,6.7,1.9,87.1,6.3,33,3.7,Residential,32.7157,-117.1611
1/10/2018,Dallas,173,29.5,74.4,18.3,5.9,2,39.3,10.7,93,0.7,Residential,32.7767,-96.797
1/10/2018,San Jose,56,43.8,34.9,45.7,8.7,1.5,80.4,3.1,22,4.3,Traffic,37.3382,-121.8863
1/11/2018,New York,95,26.4,55.3,43.6,5.1,0.2,37.8,13.3,20,7.8,Residential,40.7128,-74.006
1/11/2018,Los Angeles,103,12.6,29.8,12.6,8.9,1.1,29.6,5.7,34,3.5,Industrial,34.0522,-118.2437
1/11/2018,Chicago,50,27.8,75.3,20.1,4.8,0.7,97.1,23.2,30,5.9,Residential,41.8781,-87.6298
1/11/2018,Houston,96,28.4,94.3,14.7,5.8,1.6,65,-4.8,84,6.9,Industrial,29.7604,-95.3698
1/11/2018,Phoenix,92,21.3,87.7,43.6,9.5,0.2,68.3,29.3,73,6.7,Traffic,33.4484,-112.074
1/11/2018,Philadelphia,100,26.7,89.8,20.5,8,1,90.2,14.5,35,4.5,Traffic,39.9526,-75.1652
1/11/2018,San Antonio,94,48.1,77.3,23.2,7.7,0.7,62.7,7,69,4.8,Traffic,29.4241,-98.4936
1/11/2018,San Diego,106,17,25.3,47.3,7.9,0.6,65,27.1,38,2.9,Residential,32.7157,-117.1611
1/11/2018,Dallas,76,9.5,22.9,38.3,6.4,1.3,21.3,16.1,51,8.7,Residential,32.7767,-96.797
1/11/2018,San Jose,174,27.2,80.8,7.3,9.7,1.9,58.4,28.3,30,0.9,Traffic,37.3382,-121.8863
1/12/2018,New York,80,19.2,28.6,9.6,6,1,44.7,4.5,21,6.6,Residential,40.7128,-74.006
1/12/2018,Los Angeles,170,45.4,21.8,45.6,7.6,1,24.8,24.2,91,6.1,Industrial,34.0522,-118.2437
1/12/2018,Chicago,165,27.1,56.1,5.6,8.7,0.3,86.4,20.4,39,6.9,Industrial,41.8781,-87.6298
1/12/2018,Houston,151,43.6,69.6,7.4,3.5,0.2,73.2,9.2,35,5.6,Traffic,29.7604,-95.3698
1/12/2018,Phoenix,155,41,56.5,24.6,3,1.1,87.7,29.4,53,7.5,Residential,33.4484,-112.074
1/12/2018,Philadelphia,182,7.3,21.9,16,7.7,1.2,99.7,13,53,7.1,Residential,39.9526,-75.1652
1/12/2018,San Antonio,118,19.8,68.9,42.4,6.1,1.3,33.9,4.5,50,5.2,Industrial,29.4241,-98.4936
1/12/2018,San Diego,170,9.4,65.5,41.1,1.7,0.7,50.6,-1.6,78,1.7,Residential,32.7157,-117.1611
1/12/2018,Dallas,138,46.4,83.8,41.3,9.7,1.6,59.7,-7.7,44,3.6,Industrial,32.7767,-96.797
1/12/2018,San Jose,195,36.5,20.2,42.3,7.1,1.1,52.9,24.2,73,1.5,Industrial,37.3382,-121.8863
1/13/2018,New York,88,20.2,84.2,28,7.4,0.8,57.8,33.2,99,9.7,Industrial,40.7128,-74.006
1/13/2018,Los Angeles,77,7.3,26.5,24.4,8.3,2,52.2,33.4,35,6.5,Residential,34.0522,-118.2437
1/13/2018,Chicago,51,20.7,37,30.2,3.1,0.7,85.9,-1.2,52,2.4,Traffic,41.8781,-87.6298
1/13/2018,Houston,91,40.8,98.3,44.9,7.7,0.3,88.8,32.8,82,3.6,Industrial,29.7604,-95.3698
1/13/2018,Phoenix,68,14,99.7,18.4,8.5,2,89.4,19.1,87,0.6,Traffic,33.4484,-112.074
1/13/2018,Philadelphia,192,45,68.3,49.6,2.7,0.5,62.1,21.5,76,3.8,Industrial,39.9526,-75.1652
1/13/2018,San Antonio,91,38.3,33.1,22.1,3.2,1.7,75.1,25.8,55,4.1,Residential,29.4241,-98.4936
1/13/2018,San Diego,101,30.3,52.9,13.7,9.6,0.3,76.9,18.9,36,7.2,Traffic,32.7157,-117.1611
1/13/2018,Dallas,60,13.9,49,26.5,7.3,0.7,63.5,-2.1,62,5.7,Traffic,32.7767,-96.797
1/13/2018,San Jose,166,14.9,48.7,15.8,4.2,1.1,66.2,-4.9,56,0.7,Residential,37.3382,-121.8863
1/14/2018,New York,88,32.9,38.6,36.4,2.4,1.9,89.8,24,78,6.7,Traffic,40.7128,-74.006
1/14/2018,Los Angeles,114,36.5,12.1,13.1,3.6,1.9,25.1,7.2,71,9,Traffic,34.0522,-118.2437
1/14/2018,Chicago,156,17.3,98.1,39.7,9,0.7,25.1,-3.8,74,1.1,Industrial,41.8781,-87.6298
1/14/2018,Houston,169,30.6,52.2,41.6,9.7,0.8,23.8,7.7,94,3.8,Residential,29.7604,-95.3698
1/14/2018,Phoenix,180,17.4,23.6,8.9,7.7,0.5,64.1,27.4,79,1.7,Industrial,33.4484,-112.074
1/14/2018,Philadelphia,173,42.4,57,41.5,5.3,0.4,38.2,-8.3,98,3.5,Residential,39.9526,-75.1652
1/14/2018,San Antonio,173,48.4,70.5,12,8.6,0.7,98.8,9.3,74,2,Traffic,29.4241,-98.4936
1/14/2018,San Diego,138,21.3,50.9,34.2,7.5,0.2,46.6,38.3,46,2.7,Traffic,32.7157,-117.1611
1/14/2018,Dallas,80,20.2,86.9,22.9,1.7,1.4,37.1,25.7,41,7.3,Residential,32.7767,-96.797
1/14/2018,San Jose,75,43.8,65.3,9,7.8,1.4,21.8,20.2,78,6.8,Industrial,37.3382,-121.8863
1/15/2018,New York,85,39.8,96.5,8.9,9,1.4,57.7,28.2,80,6.2,Industrial,40.7128,-74.006
1/15/2018,Los Angeles,122,39.6,67.7,41.4,7.1,1.6,56.6,30.1,96,0.9,Residential,34.0522,-118.2437
1/15/2018,Chicago,195,47.7,85.9,49,3.8,0.4,72.7,3,83,3.1,Industrial,41.8781,-87.6298
1/15/2018,Houston,167,9.8,29,41,3.9,1.1,28.2,6,86,2.2,Traffic,29.7604,-95.3698
1/15/2018,Phoenix,189,26.5,34.3,33.5,1.9,1,59.3,22.8,46,6.2,Residential,33.4484,-112.074
1/15/2018,Philadelphia,109,39.6,12.2,48.9,4,0.7,51.2,4.2,92,4.7,Industrial,39.9526,-75.1652
1/15/2018,San Antonio,94,44.3,77.8,10.1,8.7,0.7,50.1,6.4,23,4.4,Traffic,29.4241,-98.4936
1/15/2018,San Diego,82,23,44.5,43.5,7.2,0.8,31.3,30.9,30,2.4,Industrial,32.7157,-117.1611
1/15/2018,Dallas,66,12.2,63.6,48.7,9.2,1.3,61.8,37.3,35,8.8,Industrial,32.7767,-96.797
1/15/2018,San Jose,73,23.2,23.3,11.7,9.6,0.2,34.2,37.3,62,9.5,Residential,37.3382,-121.8863
1/16/2018,New York,66,22.9,55.7,12.5,7.9,0.5,29.5,31.8,64,5.4,Residential,40.7128,-74.006
1/16/2018,Los Angeles,91,16.1,97,36.4,5.6,1.5,59.5,26.1,52,9,Industrial,34.0522,-118.2437
1/16/2018,Chicago,146,25.5,100,19.9,4.3,1,38.7,9.8,53,2.8,Traffic,41.8781,-87.6298
1/16/2018,Houston,86,25.5,91.7,27.7,10,1.3,93.3,-5,22,9.3,Traffic,29.7604,-95.3698
1/16/2018,Phoenix,64,6.6,91.2,17.5,7.7,1.5,31,-7.7,47,8.8,Residential,33.4484,-112.074
1/16/2018,Philadelphia,57,19.3,10.3,18,6.3,1.5,47.4,20.5,36,9.7,Residential,39.9526,-75.1652
1/16/2018,San Antonio,113,36.8,92.9,40.2,8.7,0.5,26.8,31.6,50,8.6,Residential,29.4241,-98.4936
1/16/2018,San Diego,142,36.8,40.3,50,3.7,1.2,86.3,14.6,72,2.6,Residential,32.7157,-117.1611
1/16/2018,Dallas,131,5.2,27.6,33.1,9.6,1.6,76.9,21.6,55,5.9,Residential,32.7767,-96.797
1/16/2018,San Jose,57,17.1,95.9,20.8,9.3,1.5,81.5,36.1,61,2.4,Industrial,37.3382,-121.8863
1/17/2018,New York,119,32.5,81.2,12.8,5.8,0.3,31.7,1,30,8,Traffic,40.7128,-74.006
1/17/2018,Los Angeles,92,34.8,69.9,32.7,8.8,0.9,65.3,11.7,49,7.8,Industrial,34.0522,-118.2437
1/17/2018,Chicago,110,25.7,81.7,37.2,8.7,1.9,80.6,19.8,60,3,Industrial,41.8781,-87.6298
1/17/2018,Houston,159,7,85.8,44.2,3.5,0.8,24.5,3.5,85,8.2,Industrial,29.7604,-95.3698
1/17/2018,Phoenix,57,16.9,71.6,34.8,7,0.9,52.9,8,61,8.6,Traffic,33.4484,-112.074
1/17/2018,Philadelphia,189,15.5,26.5,31.7,3.6,0.9,96.4,-7.9,29,1,Traffic,39.9526,-75.1652
1/17/2018,San Antonio,163,9.9,43.5,41.2,4.8,0.6,70.7,37.2,95,7.5,Traffic,29.4241,-98.4936
1/17/2018,San Diego,64,8.4,72.1,25.6,6,0.6,57.7,22.6,87,10,Industrial,32.7157,-117.1611
1/17/2018,Dallas,125,47.2,33.9,13.1,8.3,1,69.6,2.3,58,6.1,Industrial,32.7767,-96.797
1/17/2018,San Jose,81,12.2,42.6,42.8,1.4,0.6,48.8,8.6,94,4.4,Traffic,37.3382,-121.8863
1/18/2018,New York,140,36.2,83.5,15.7,8.3,0.3,48.1,19.6,79,6.4,Industrial,40.7128,-74.006
1/18/2018,Los Angeles,173,49.7,65.7,40.4,2.9,1.2,53.3,33.3,48,1.5,Industrial,34.0522,-118.2437
1/18/2018,Chicago,70,37.9,57.2,13.2,5.1,1.1,96.8,16.6,37,9.2,Residential,41.8781,-87.6298
1/18/2018,Houston,159,6.5,12,38.5,3.1,1.8,90.8,8.1,72,5.7,Traffic,29.7604,-95.3698
1/18/2018,Phoenix,57,41,17,32,9.4,0.2,25.9,22.5,53,4,Traffic,33.4484,-112.074
1/18/2018,Philadelphia,119,20,26.8,8.2,5.7,1.9,96.7,-8.3,22,0.8,Residential,39.9526,-75.1652
1/18/2018,San Antonio,143,33.8,48.4,18.3,2.8,0.9,88.8,29.5,86,7.2,Residential,29.4241,-98.4936
1/18/2018,San Diego,77,18.9,43.2,48,3.1,0.8,88.7,10.7,62,9.5,Traffic,32.7157,-117.1611
1/18/2018,Dallas,64,6.5,46,25.7,5.4,0.6,43.8,-1.5,87,5.3,Residential,32.7767,-96.797
1/18/2018,San Jose,115,39.4,22.8,43,3.9,1.4,59.9,-7.8,43,5,Industrial,37.3382,-121.8863
1/19/2018,New York,172,34.9,47.1,14.6,4.1,0.9,80.6,2,29,8.8,Industrial,40.7128,-74.006
1/19/2018,Los Angeles,127,20.2,84.8,34.9,9.5,1.2,60.3,15.9,46,7.4,Traffic,34.0522,-118.2437
1/19/2018,Chicago,169,10.4,40.9,46.5,9.6,1.2,54.3,6.7,33,5.7,Residential,41.8781,-87.6298
1/19/2018,Houston,89,22.3,21.3,12.1,7.4,1.1,47,35.2,81,0.6,Traffic,29.7604,-95.3698
1/19/2018,Phoenix,127,11.9,24.8,28.1,5.7,1.1,51,19.9,70,4.1,Industrial,33.4484,-112.074
1/19/2018,Philadelphia,165,18.9,11.4,8.7,2.3,2,52.3,26.6,41,6.4,Industrial,39.9526,-75.1652
1/19/2018,San Antonio,107,20.8,32.9,14.1,8.5,0.5,43.9,30.3,95,5.1,Traffic,29.4241,-98.4936
1/19/2018,San Diego,152,33,15.2,13.4,1.9,0.3,57.5,12.3,20,1.3,Residential,32.7157,-117.1611
1/19/2018,Dallas,194,29.5,78.5,30.5,7.8,1.1,50.4,12.1,33,8.1,Residential,32.7767,-96.797
1/19/2018,San Jose,93,42.2,71.6,36.7,8.2,1.6,61.5,12.5,20,7,Industrial,37.3382,-121.8863
1/20/2018,New York,144,34.6,56.4,30.1,4.3,0.7,44.2,26.3,66,9,Traffic,40.7128,-74.006
1/20/2018,Los Angeles,171,48.6,33.8,27.1,4.3,0.3,52.5,33.4,73,2,Traffic,34.0522,-118.2437
1/20/2018,Chicago,117,34.3,92.3,25.2,1.6,1.4,82.3,18.1,38,5.1,Traffic,41.8781,-87.6298
1/20/2018,Houston,167,44.9,65.2,9.2,4.2,1,24.7,-2.9,99,2.5,Traffic,29.7604,-95.3698
1/20/2018,Phoenix,179,47.9,75.5,5.4,4.7,1.4,88.2,18.7,39,3.6,Traffic,33.4484,-112.074
1/20/2018,Philadelphia,152,43.2,36.5,12.2,7,0.2,67.9,-4.1,55,6.9,Residential,39.9526,-75.1652
1/20/2018,San Antonio,148,27.2,15.4,34.9,5.6,0.8,24.1,-0.9,88,2.9,Industrial,29.4241,-98.4936
1/20/2018,San Diego,199,37.6,57.8,27,9.3,0.2,88.7,38.3,30,1.8,Industrial,32.7157,-117.1611
1/20/2018,Dallas,67,32.2,92.1,43.5,6.4,1,40.8,14.4,85,0.8,Traffic,32.7767,-96.797
1/20/2018,San Jose,145,44.6,95.1,20.3,1.5,1.6,21.5,-5,87,6.8,Traffic,37.3382,-121.8863
1/21/2018,New York,190,33.2,68,48.1,5.2,0.9,20.6,17.3,28,4.9,Industrial,40.7128,-74.006
1/21/2018,Los Angeles,59,25.9,44,27.5,9.8,1.3,80.1,5.1,53,5.4,Industrial,34.0522,-118.2437
1/21/2018,Chicago,192,18.3,25.1,14.6,3.5,0.7,29,4.2,90,7.1,Industrial,41.8781,-87.6298
1/21/2018,Houston,164,35.5,31.9,27.2,7.1,0.2,68.7,20.2,42,3.8,Industrial,29.7604,-95.3698
1/21/2018,Phoenix,161,35.7,35.4,31.1,9.3,0.2,97.2,7.2,78,5.8,Industrial,33.4484,-112.074
1/21/2018,Philadelphia,171,28.3,68.7,7.2,5.9,1,53.3,-2,99,2.2,Industrial,39.9526,-75.1652
1/21/2018,San Antonio,107,42.6,22.1,43.6,8.2,1.7,61.4,35.2,40,3.6,Industrial,29.4241,-98.4936
1/21/2018,San Diego,158,9,81.4,27.2,3.3,1.7,61.8,-9.7,66,2.4,Industrial,32.7157,-117.1611
1/21/2018,Dallas,76,43.3,47.9,6.3,6,0.3,94.6,14.7,31,3.6,Traffic,32.7767,-96.797
1/21/2018,San Jose,149,47.1,69.5,24.5,6.7,0.4,38.8,8.5,34,4.5,Traffic,37.3382,-121.8863
1/22/2018,New York,191,23.3,68.3,32.6,7,1.1,84.7,13.8,45,6,Industrial,40.7128,-74.006
1/22/2018,Los Angeles,172,44.6,63.9,38.2,8.5,1.9,87.2,13.9,43,4.8,Industrial,34.0522,-118.2437
1/22/2018,Chicago,126,41.2,96,24.4,1,1.5,98.2,9.3,54,5.5,Traffic,41.8781,-87.6298
1/22/2018,Houston,92,6.8,11.1,19,9.1,1.6,61.2,27.4,95,4.2,Industrial,29.7604,-95.3698
1/22/2018,Phoenix,136,48.8,11.4,27.9,1.3,1.7,97.3,22.5,24,7.2,Traffic,33.4484,-112.074
1/22/2018,Philadelphia,133,16.7,63.3,19.5,5.1,0.5,72.5,38.8,70,8.9,Traffic,39.9526,-75.1652
1/22/2018,San Antonio,181,31,68.4,28.9,2.3,0.1,30.7,1.9,49,3.6,Traffic,29.4241,-98.4936
1/22/2018,San Diego,135,49,94.4,37.9,8,1.4,48.8,2.9,54,7.5,Industrial,32.7157,-117.1611
1/22/2018,Dallas,164,23.5,55.3,11.2,9.1,1.1,49.9,-2.7,42,6,Residential,32.7767,-96.797
1/22/2018,San Jose,119,8.8,43.3,35,2.7,1.1,46.7,29.5,32,2.4,Residential,37.3382,-121.8863
1/23/2018,New York,102,9.8,71.4,9.8,9.1,0.7,88.5,5,25,6.9,Traffic,40.7128,-74.006
